a.id,a.firstname,a.lastname,a.gender,a.birthdate,a.deathdate,a.birthplace,a.deathplace,a.nationality
69,Carl Otto,Czeschka,M,1878-01-01,1960-01-01,Vienna,Hamburg,AT
70,Dezső,Czigány,M,1883-01-01,1937-01-01,Budapest,Budapest,HU
71,Béla,Czóbel,M,1883-01-01,1975-01-01,Budapest,Budapest,HU
72,Hippolyte,Daeye,M,1873-01-01,1952-01-01,Ghent,Ghent,BE
73,Arthur Bowen,Davies,M,1862-01-01,1928-01-01,"Utica, New York",Florence,US
75,Per,Deberitz,M,1880-01-01,1945-01-01,Drøbak,Christiania (Oslo),NO
76,Giorgio de,Chirico,M,1888-01-01,1978-01-01,Vólos,Rome,IT
77,Edgar,Degas,M,1834-01-01,1917-01-01,Paris,Paris,FR
78,Henry de,Groux,M,1867-01-01,1930-01-01,Brussels,Marseilles,BE
79,Robert,Delaunay,M,1885-01-01,1941-01-01,Paris,Montpellier,FR
80,Sonia,Delaunay,F,1885-01-01,1979-01-01,Gradizhsk,Paris,FR
81,Jean,Delville,M,1867-01-01,1953-01-01,Louvain,Forest,BE
83,Maurice,Denis,M,1870-01-01,1943-01-01,"Granville, Manche",Saint-Germain-en-Laye,FR
84,André,Derain,M,1880-01-01,1954-01-01,Chatou,Garches,FR
85,Gustave de,Smet,M,1877-01-01,1943-01-01,Ghent,Deurle,BE
87,Georges-Olivier,Desvallières,M,1861-01-01,1950-01-01,Paris,Paris,FR
88,Maurice de,Vlaminck,M,1876-01-01,1958-01-01,Paris,Rueil-la-Gadelière,FR
89,Karl Edvard,Diriks,M,1855-01-01,1930-01-01,Christiania (Oslo),Christiania (Oslo),NO
90,Mstislav,Dobuzhinsky,M,1875-01-01,1957-01-01,Velikiy Novgorod,New York,RU
91,Henri,Doucet,M,1883-01-01,1915-01-01,Pleumartin,Hooge,FR
93,Malcolm,Drummond,M,1880-01-01,1945-01-01,Boyn Hill,Moulsford,GB
95,Marcel,Duchamp,M,1887-01-01,1968-01-01,Blainville-Crevon,Neuilly-sur-Seine,FR
96,Raymond,Duchamp-Villon,M,1876-01-01,1918-01-01,Damville,Cannes,FR
97,Raoul,Dufy,M,1877-01-01,1953-01-01,Le Havre,Forcalquier,FR
98,André,Dunoyer de Segonzac,M,1884-01-01,1974-01-01,Boussy-Saint-Antoine,Paris,FR
99,Leander,Engström,M,1886-01-01,1927-01-01,Ytterhogdal,Stockholm,SE
100,James,Ensor,M,1860-01-01,1949-01-01,Ostend,Ostend,BE
101,Jacob,Epstein,M,1880-01-01,1959-01-01,New York,London,GB
102,Adolf,Erbslöh,M,1881-01-01,1947-01-01,New York,Icking,DE
103,Thorvald,Erichsen,M,1868-01-01,1939-01-01,Trondheim,Christiania (Oslo),NO
104,Max,Ernst,M,1891-01-01,1976-01-01,Brühl (Rhineland),Paris,DE
105,Frederick,Etchells,M,1886-01-01,1973-01-01,Newcastle upon Tyne,Folkestone,GB
106,Henri,Evenepoel,M,1872-01-01,1899-01-01,Nice,Paris,BE
107,Aleksandra Aleksandrovna,Exster,F,1882-01-01,1949-01-01,Białystok,Fontenay-aux-Roses,RU
108,Anton,Faistauer,M,1887-01-01,1930-01-01,Sankt Martin bei Lofer,Vienna,AT
109,Xenia,Boguslawskaja,F,1892-01-01,1971-01-01,Saint Petersburg,Paris,
110,Marie,Vassilieff,F,1884-01-01,1957-01-01,Smolensk,Nogent-sur-Marne,RU
111,Vasiliǐ,Kamenskiǐ,M,1884-01-01,1961-01-01,Perm,Moscow,RU
112,Anna Michajlovna,Kirillova,F,0000-01-01,0000-01-01,,,RU
113,Ivan,Klyun,M,1873-01-01,1943-01-01,Bolshie Gorki,Moscow,RU
114,Vera Efimovna,Pestel',F,1888-01-01,1952-01-01,Moscow,Moscow,RU
115,Lyubov',Popova,F,1889-01-01,1924-01-01,Ivanovskoye,Moscow,RU
116,Jean,Pougny,M,1892-01-01,1956-01-01,Repino,Paris,RU
117,Ol'ga,Rozanova,F,1886-01-01,1918-01-01,Melenki,Moscow,RU
118,Vladimir,Tatlin,M,1885-01-01,1953-01-01,Kharkov,Novodevichye,UA
119,Nadezhda,Udal'tsova,F,1886-01-01,1961-01-01,Orel,Moscow,RU
120,Mikhail Ivanovich,Menkov,M,1885-01-01,1926-01-01,Vilnius,Yalta,RU
121,Robert,Fa'lk,M,1886-01-01,1958-01-01,Moscow,Moscow,RU
122,Bedřich,Feigl,M,1884-01-01,1965-01-01,Prague,London,CZ
123,Lyonel,Feininger,M,1871-01-01,1956-01-01,New York,New York,US
124,Emil,Filla,M,1882-01-01,1953-01-01,Chropyně,Prague,CZ
125,Pavel,Filonov,M,1883-01-01,1941-01-01,Moscow,Saint Petersburg,RU
126,Bernhard Dorotheus,Folkestad,M,1879-01-01,1933-01-01,London,Christiania (Oslo),NO
127,Artur,Fonvizin,M,1883-01-01,1973-01-01,Riga,Moscow,RU
128,Othon,Friesz,M,1879-01-01,1949-01-01,Le Havre,Paris,FR
129,Roger,Fry,M,1866-01-01,1934-01-01,London,London,GB
130,Akseli,Gallen-Kallela,M,1865-01-01,1931-01-01,Pori,Stockholm,FI
132,Paul,Gauguin,M,1848-01-01,1903-01-01,Paris,Atuona,FR
133,Aleksandr Fedorovich,Gaush,M,1873-01-01,1947-01-01,Saint Petersburg,Simferopol,RU
134,Mark,Gertler,M,1891-01-01,1939-01-01,Spitalfields,London,GB
135,Leo,Gestel,M,1881-01-01,1941-01-01,Woerden,Hilversum,NL
136,Augusto,Giacometti,M,1877-01-01,1947-01-01,Stampa,Zurich,CH
137,Giovanni,Giacometti,M,1868-01-01,1933-01-01,Stampa,Glion,CH
138,Harold,Gilman,M,1876-01-01,1919-01-01,Rode,London,GB
139,Charles,Ginner,M,1878-01-01,1952-01-01,Cannes,London,GB
140,Pierre Paul,Girieud,M,1876-01-01,1948-01-01,Paris,Paris,FR
142,Albert,Gleizes,M,1881-01-01,1953-01-01,Paris,Avignon,FR
143,Natalia,Goncharova,F,1881-01-01,1962-01-01,Tula,Paris,RU
144,Spencer,Gore,M,1878-01-01,1914-01-01,Epsom,Surrey,GB
145,Duncan,Grant,M,1885-01-01,1978-01-01,Aviemore,Aldermaston,GB
146,Juan,Gris,M,1887-01-01,1927-01-01,Madrid,Boulogne-Billancourt,ES
147,Alexis,Gritchenko,M,1883-01-01,1977-01-01,Krolevets,Vence,RU
149,Isaac,Grünewald,M,1888-01-01,1946-01-01,Stockholm,Norway,SE
150,Charles-François-Prosper,Guérin,M,1875-01-01,1939-01-01,Sens,Paris,FR
152,Otto,Gutfreund,M,1889-01-01,1927-01-01,Dvůr Králové,Prague,CZ
153,Hermann,Haller,M,1880-01-01,1950-01-01,Bern,Zurich,CH
154,Marsden,Hartley,M,1877-01-01,1943-01-01,"Lewiston, Maine","Ellsworth, Maine",US
155,Ferenc,Hatvany,M,1881-01-01,1958-01-01,Budapest,Lausanne,HU
156,Henri,Hayden,M,1883-01-01,1970-01-01,Warsaw,Paris,PL
157,Erich,Heckel,M,1883-01-01,1970-01-01,Döbeln,Radolfzell,DE
158,Jean,Heiberg,M,1884-01-01,1976-01-01,Christiania (Oslo),Christiania (Oslo),NO
159,Walter,Helbig,M,1878-01-01,1968-01-01,"Falkenstein, Saxony",Ascona,DE
160,Robert,Henri,M,1865-01-01,1929-01-01,Cincinnati,New York,US
161,Auguste,Herbin,M,1882-01-01,1960-01-01,Quiévy,Paris,FR
163,Sigrid,Hjertén,F,1885-01-01,1948-01-01,Sundsvall,Stockholm,SE
164,Ferdinand,Hodler,M,1853-01-01,1918-01-01,Bern,Geneva,CH
165,Adolf,Hölzel,M,1853-01-01,1934-01-01,Olomouc,Stuttgart,DE
166,Karl,Hofer,M,1878-01-01,1955-01-01,Karlsruhe,Berlin,DE
168,Max,Horb,M,1882-01-01,1907-01-01,Mladá Boleslav,Prague,CZ
169,Hermann,Huber,M,1888-01-01,1967-01-01,Zurich,Hirzel,CH
170,James Dickson,Innes,M,1887-01-01,1914-01-01,Llanelli,Swanley,GB
171,Isaac,Israëls,M,1865-01-01,1934-01-01,Amsterdam,"Hague, The",NL
172,Richard,Janthur,M,1883-01-01,1956-01-01,Zerbst,Berlin,DE
173,Alexei,Jawlensky,M,1864-01-01,1941-01-01,Torzhok,Wiesbaden,RU
175,Augustus,John,M,1878-01-01,1961-01-01,Tenby,Fordingbridge,GB
176,Gwen,John,F,1876-01-01,1939-01-01,Haverfordwest,Dieppe,GB
177,Einar,Jolin,M,1890-01-01,1976-01-01,Stockholm,Stockholm,SE
178,Ernst,Josephson,M,1851-01-01,1906-01-01,Stockholm,Stockholm,SE
179,Alexander,Kanoldt,M,1881-01-01,1939-01-01,Karlsruhe,Berlin,DE
180,Arne,Kavli,M,1878-01-01,1970-01-01,"Bergen, North Holland",Christiania (Oslo),NO
181,Károly,Kernstok,M,1873-01-01,1940-01-01,Budapest,Budapest,HU
182,Fernand,Khnopff,M,1858-01-01,1921-01-01,Dendermonde,Brussels,BE
183,Ernst Ludwig,Kirchner,M,1880-01-01,1938-01-01,Aschaffenburg,Frauenkirch,DE
184,Moïse,Kisling,M,1891-01-01,1953-01-01,Cracow,Sanary-sur-Mer,FR
185,Paul,Klee,M,1879-01-01,1940-01-01,Münchenbuchsee,Muralto,CH
186,Cesar,Klein,M,1876-01-01,1954-01-01,Hamburg,Pansdorf,DE
187,Gustav,Klimt,M,1862-01-01,1918-01-01,Vienna,Vienna,AT
188,Max,Klinger,M,1857-01-01,1920-01-01,Leipzig,Großjena,DE
189,Moissey,Kogan,M,1879-01-01,1943-01-01,Orhei,Auschwitz,RU
190,Oskar,Kokoschka,M,1886-01-01,1980-01-01,Pöchlarn,Montreux,AT
191,Georg,Kolbe,M,1877-01-01,1947-01-01,Waldheim,Berlin,DE
192,Käthe,Kollwitz,F,1867-01-01,1945-01-01,Königsberg,Moritzburg,DE
193,Pyotr,Konchalovsky,M,1876-01-01,1956-01-01,Slavyansk,Moscow,RU
194,Nikolay,Krymov,M,1884-01-01,1958-01-01,Moscow,Moscow,RU
195,Per,Krohg,M,1889-01-01,1965-01-01,Åsgårdstrand,Christiania (Oslo),NO
196,Alfred,Kubin,M,1877-01-01,1959-01-01,Litoměřice,Wernstein am Inn,AT
197,Othone,Coubine,M,1883-01-01,1969-01-01,Boskovice,Marseilles,CZ
198,Bohumil,Kubišta,M,1884-01-01,1918-01-01,Vlčkovice,Prague,CZ
200,Reinhold,Kündig,M,1888-01-01,1984-01-01,Uster,Thalwil,CH
201,František,Kupka,M,1871-01-01,1957-01-01,Opočno,Puteaux,CZ
202,Aleksandr,Kuprin,M,1880-01-01,1960-01-01,Borisoglebsk,Moscow,RU
203,Pavel,Kuznetsov,M,1878-01-01,1968-01-01,Saratov,Moscow,RU
205,Eugène,Laermans,M,1864-01-01,1940-01-01,Brussels,Brussels,BE
206,Roger de,La Fresnaye,M,1885-01-01,1925-01-01,Le Mans,Grasse,FR
207,Henry,Lamb,M,1883-01-01,1960-01-01,Adelaide,London,GB
208,Pierre,Laprade,M,1875-01-01,1931-01-01,Narbonne,Fontenay-aux-Roses,FR
209,Mikhail,Larionov,M,1881-01-01,1964-01-01,Tiraspol,Fontenay-aux-Roses,RU
210,Marie,Laurencin,F,1885-01-01,1956-01-01,Paris,Paris,FR
214,Mikhail Vasilevich,Le-Dantyu,M,1891-01-01,1917-01-01,Tver',,RU
215,Henri Victor Gabriel,Le Fauconnier,M,1881-01-01,1946-01-01,Hesdin,Paris,FR
216,Fernand,Léger,M,1881-01-01,1955-01-01,Argentan,Gif-sur-Yvette,FR
217,Wilhelm,Lehmbruck,M,1881-01-01,1919-01-01,Duisburg,Berlin,DE
218,Wilhelm,Leibl,M,1844-01-01,1900-01-01,Cologne,Würzburg,DE
219,Georges,Lemmen,M,1865-01-01,1916-01-01,Brussels,Brussels,BE
220,Jean Julien,Lemordant,M,1878-01-01,1968-01-01,Saint-Malo,Paris,FR
221,Aristarkh,Lentulov,M,1882-01-01,1943-01-01,Nizhny Lomov,Moscow,RU
222,Rudolf,Levy,M,1875-01-01,1943-01-01,Stettin,,DE
223,Wyndham,Lewis,M,1882-01-01,1957-01-01,Amherst,London,GB
224,André,Lhote,M,1885-01-01,1962-01-01,Bordeaux,Paris,FR
225,Max,Liebermann,M,1847-01-01,1935-01-01,Berlin,Berlin,DE
227,Bertold,Löffler,M,1874-01-01,1960-01-01,Liberec,Vienna,AT
228,Georgy,Lukomsky,M,1884-01-01,1952-01-01,Kaluga,Nice,RU
230,Henrik Louis,Lund,M,1879-01-01,1935-01-01,Bergen,Christiania (Oslo),NO
231,Oscar,Lüthy,M,1882-01-01,1945-01-01,Bern,Zurich,CH
232,Stanton,Macdonald-Wright,M,1890-01-01,1973-01-01,Charlottesville,Pacific Palisades,US
233,August,Macke,M,1887-01-01,1914-01-01,Meschede,Perthes-lès-Hurlus,DE
234,Helmuth,Macke,M,1891-01-01,1936-01-01,Krefeld,Hemmenhofen,DE
235,Aristide,Maillol,M,1861-01-01,1944-01-01,Banyuls-sur-Mer,Perpignan,FR
236,Edouard,Manet,M,1832-01-01,1883-01-01,Paris,Paris,FR
237,Henri Charles,Manguin,M,1874-01-01,1949-01-01,Paris,Saint-Tropez,FR
238,,Manolo,M,1872-01-01,1945-01-01,Barcelona,Caldas de Montbuy,ES
239,Franz,Marc,M,1880-01-01,1916-01-01,Munich,Verdun-sur-Garonne,DE
240,Jean,Marchand,M,1882-01-01,1941-01-01,Paris,Paris,FR
242,Louis,Marcoussis,M,1883-01-01,1941-01-01,Warsaw,Cusset,FR
243,Ödön,Márffy,M,1878-01-01,1959-01-01,Budapest,Budapest,HU
245,Albert,Marquet,M,1875-01-01,1947-01-01,Bordeaux,Paris,FR
246,Alberto,Martini,M,1876-01-01,1954-01-01,Oderzo,Milan,IT
247,Il'ya,Mashkov,M,1881-01-01,1944-01-01,Mikhailovskaya-on-Don,Moscow,RU
248,Henri,Matisse,M,1869-01-01,1954-01-01,Le Cateau-Cambrésis,Nice,FR
249,Aleksandr,Matveyev,M,1878-01-01,1960-01-01,Saratov,Moscow,RU
250,Mikhail,Matyushin,M,1861-01-01,1934-01-01,Nizhniy Novgorod,Leningradskaya Oblast',RU
251,Alfred Henry,Maurer,M,1868-01-01,1932-01-01,New York,New York,US
252,Ludwig,Meidner,M,1884-01-01,1966-01-01,Bernstadt,Darmstadt,DE
253,Xavier,Mellery,M,1845-01-01,1921-01-01,Laken,Brussels,BE
254,Moritz,Melzer,M,1877-01-01,1966-01-01,Bohemia,Berlin,DE
255,Jean,Metzinger,M,1883-01-01,1956-01-01,Nantes,Paris,FR
256,Constantin,Meunier,M,1831-01-01,1905-01-01,Etterbeek,Ixelles,BE
257,Nikolay,Milioti,M,1874-01-01,1962-01-01,Moscow,Paris,RU
258,Vasily,Milioti,M,1875-01-01,1943-01-01,Moscow,Moscow,RU
261,George,Minne,M,1866-01-01,1941-01-01,Ghent,Sint-Martens-Latem,BE
262,Piotr,Miturich,M,1887-01-01,1956-01-01,Saint Petersburg,Moscow,RU
263,Paula,Modersohn-Becker,F,1876-01-01,1907-01-01,Dresden,Worpswede,DE
265,Aleksandr Pavlovič,Mogilevskij,M,1885-01-01,1980-01-01,Mariupol',Moscow,RU
266,Louis René,Moilliet,M,1880-01-01,1962-01-01,Bern,Vevey,CH
267,Oskar,Moll,M,1875-01-01,1947-01-01,Brzeg,Berlin,DE
268,Claude,Monet,M,1840-01-01,1926-01-01,Paris,Giverny,FR
269,Adolphe,Monticelli,M,1824-01-01,1886-01-01,Marseilles,Marseilles,FR
270,Giorgio,Morandi,M,1890-01-01,1964-01-01,Bologna,Bologna,IT
271,Gustave,Moreau,M,1826-01-01,1898-01-01,Paris,Paris,FR
272,Wilhelm,Morgner,M,1891-01-01,1917-01-01,Soest,Langemark,DE
273,Alexsey,Morgunov,M,1884-01-01,1935-01-01,Moscow,Moscow,RU
274,Koloman,Moser,M,1868-01-01,1918-01-01,Vienna,Vienna,AT
275,Otto,Mueller,M,1874-01-01,1930-01-01,Lubawka,Oborniki Śląskie,DE
276,Edvard,Munch,M,1863-01-01,1944-01-01,Løten,Christiania (Oslo),NO
277,Gabriele,Münter,F,1877-01-01,1962-01-01,Berlin,Murnau,DE
278,Elie,Nadelman,M,1882-01-01,1946-01-01,Warsaw,New York,PL
279,John Northcote,Nash,M,1893-01-01,1977-01-01,London,Colchester,GB
280,Paul,Nash,M,1889-01-01,1946-01-01,London,Dorset,GB
281,Heinrich,Nauen,M,1880-01-01,1941-01-01,Krefeld,Kalkar,DE
282,Christopher,Nevinson,M,1889-01-01,1946-01-01,London,London,GB
283,Jean,Niestlé,M,1884-01-01,1942-01-01,Neuchatel,Antony,CH
284,Emil,Nolde,M,1867-01-01,1956-01-01,Burkal,Seebüll,DE
285,Isidre,Nonell,M,1873-01-01,1911-01-01,Barcelona,Barcelona,ES
286,Willi,Nowak,M,1886-01-01,1977-01-01,Mníšek pod Brdy,Prague,CZ
288,Walter,Ophey,M,1882-01-01,1930-01-01,Eupen,Dusseldorf,DE
289,Dezső,Orbán,M,1884-01-01,1986-01-01,Győr,Sydney,HU
290,Anna Petrovna,Ostroumova-Lebedeva,F,1871-01-01,1955-01-01,Saint Petersburg,Saint Petersburg,RU
292,Bernhard,Pankok,M,1872-01-01,1943-01-01,Münster,Baierbrunn,DE
293,Jules,Pascin,M,1885-01-01,1930-01-01,Vidin,Paris,BG
295,Max,Pechstein,M,1881-01-01,1955-01-01,Zwickau,Berlin,DE
296,Giuseppe,Pellizza da Volpedo,M,1868-01-01,1907-01-01,Volpedo,Volpedo,IT
297,Constant,Permeke,M,1886-01-01,1952-01-01,Antwerp,Ostend,BE
298,Kuz'ma,Petrov-Vodkin,M,1878-01-01,1939-01-01,Khvalynsk,Saint Petersburg,RU
299,Albert,Pfister,M,1884-01-01,1978-01-01,Stäfa,Erlenbach,CH
300,Francis,Picabia,M,1879-01-01,1953-01-01,Paris,Paris,FR
301,Pablo,Picasso,M,1881-01-01,1973-01-01,Málaga,Mougins,ES
302,Niko,Pirosmanishvili,M,1862-01-01,1918-01-01,Mirzaani,Tbilisi,GE
304,Jan,Preisler,M,1872-01-01,1918-01-01,Dvůr Králové,Prague,CZ
306,Gaetano,Previati,M,1852-01-01,1920-01-01,Ferrara,Lavagna,IT
307,Antonín,Procházka,M,1882-01-01,1945-01-01,Vážany,Brno,CZ
308,Hans,Purrmann,M,1880-01-01,1966-01-01,Speyer,Basel,DE
309,Leo,Putz,M,1869-01-01,1940-01-01,Merano,Merano,IT
310,Pierre,Puvis de Chavannes,M,1824-01-01,1898-01-01,Lyon,Paris,FR
311,Jean,Puy,M,1876-01-01,1960-01-01,Roanne,Roanne,FR
312,Isaak Moiseevich,Rabinovich,M,1894-01-01,1961-01-01,Kiev,Moscow,RU
313,Paul Elie,Ranson,M,1861-01-01,1909-01-01,Limoges,Paris,FR
314,William,Ratcliffe,M,1870-01-01,1955-01-01,Clenchwarton,London,GB
316,Odilon,Redon,M,1840-01-01,1916-01-01,Bordeaux,Paris,FR
317,Pierre-Auguste,Renoir,M,1841-01-01,1919-01-01,Limoges,Cagnes-sur-Mer,FR
318,Alfred,Reth,M,1884-01-01,1966-01-01,Budapest,Paris,FR
319,József,Rippl-Rónai,M,1861-01-01,1927-01-01,Kaposvár,Kaposvár,HU
320,Diego,Rivera,M,1886-01-01,1957-01-01,Guanajuato,Mexico City,MX
321,William,Roberts,M,1895-01-01,1980-01-01,London,London,GB
323,Auguste,Rodin,M,1840-01-01,1917-01-01,Paris,Meudon,FR
325,Christian,Rohlfs,M,1849-01-01,1938-01-01,Neindorf,Hagen,DE
326,Romolo,Romani,M,1884-01-01,1916-01-01,Milan,Brescia,IT
327,Félicien,Rops,M,1833-01-01,1898-01-01,Namur,Corbeil-Essonnes,BE
328,Medardo,Rosso,M,1858-01-01,1928-01-01,Turin,Milan,IT
329,Georges,Rouault,M,1871-01-01,1958-01-01,Paris,Paris,FR
330,Henri,Rousseau,M,1844-01-01,1910-01-01,Laval,Paris,FR
331,Ker-Xavier,Roussel,M,1867-01-01,1944-01-01,Lorry-lès-Metz,L'Étang-la-Ville,FR
332,Morgan,Russell,M,1886-01-01,1953-01-01,New York,Broomall,US
333,Luigi,Russolo,M,1885-01-01,1947-01-01,Venice,Venice,IT
334,Nikolay,Ryabushinsky,M,1876-01-01,1951-01-01,Moscow,Nice,RU
336,Gösta,Sandels,M,1887-01-01,1919-01-01,Gothenburg,Granada,SE
338,Nikolay,Sapunov,M,1880-01-01,1912-01-01,Moscow,Zelenogorsk,RU
339,Martiros,Sarian,M,1880-01-01,1972-01-01,Nakhichevan,Yerevan,AM
341,Linka,Procházková,F,1884-01-01,1960-01-01,Nové Dvory,Brno,CZ
342,Lodewijk,Schelfhout,M,1881-01-01,1943-01-01,"Hague, The",Amstelveen,NL
343,Egon,Schiele,M,1890-01-01,1918-01-01,Tulln,Vienna,AT
345,Karl,Schmidt-Rottluff,M,1884-01-01,1976-01-01,Rottluff,Berlin,DE
346,Arnold,Schoenberg,M,1874-01-01,1951-01-01,Vienna,Los Angeles,AT
347,Emile,Schuffenecker,M,1851-01-01,1934-01-01,Fresne-Saint-Mamès,Paris,FR
348,Arthur,Segal,M,1875-01-01,1944-01-01,Iași,London,RO
349,Giovanni,Segantini,M,1858-01-01,1899-01-01,Arco,Pontresina,IT
350,Armand,Séguin,M,1869-01-01,1903-01-01,Paris,Châteauneuf-du-Faou,FR
351,Paul,Sérusier,M,1864-01-01,1927-01-01,Paris,Morlaix,FR
352,Albert,Servaes,M,1883-01-01,1966-01-01,Ghent,Luzern,BE
353,Georges,Seurat,M,1859-01-01,1891-01-01,Paris,Paris,FR
354,Gino,Severini,M,1883-01-01,1966-01-01,Cortona,Paris,IT
355,René,Seyssaud,M,1867-01-01,1952-01-01,Marseilles,Saint-Chamas,FR
357,Aleksandr,Shevchenko,M,1883-01-01,1948-01-01,Kharkov,Moscow,RU
358,Iosif Solomonovič,Škol'nik,M,1883-01-01,1926-01-01,"Balta, Odessa Oblast",Saint Petersburg,UA
359,Léopold,Survage,M,1879-01-01,1968-01-01,Moscow,Paris,RU
360,Walter Richard,Sickert,M,1860-01-01,1942-01-01,Munich,Bathampton,GB
361,Paul,Signac,M,1863-01-01,1935-01-01,Paris,Paris,FR
362,Ladislav,Šíma,M,1885-01-01,1956-01-01,Prague,Benešov,CZ
364,Max,Slevogt,M,1868-01-01,1932-01-01,Landshut,Leinsweiler,DE
